Date,Open,High,Low,Close,Volume
2023-03-10,105.6,109.78,102.12,105.25,953049
2023-03-11,106.91,109.12,105.71,106.03,120056
2023-03-12,106.67,108.07,101.9,106.46,765022
2023-03-13,106.2,109.85,105.96,108.16,955474
2023-03-14,109.19,109.26,108.61,108.64,965264
2023-03-15,107.89,112.78,107.01,107.11,876665
2023-03-16,107.08,109.44,106.21,107.61,388790
2023-03-17,105.81,110.55,101.37,103.77,820777
2023-03-18,104.27,106.79,99.99,104.47,497827
2023-03-19,104.93,109.65,100.21,108.39,843583
2023-03-20,110.16,113.03,108.21,111.31,104000
2023-03-21,112.56,116.66,109.43,115.36,604999
2023-03-22,116.98,117.96,116.64,116.77,767521
2023-03-23,114.93,118.02,113.24,116.38,712956
2023-03-24,117.75,117.87,113.68,114.86,103267
2023-03-25,115.63,117.38,110.95,111.2,160692
2023-03-26,113.07,115.81,110.96,113.72,214352
2023-03-27,114.64,115.28,113.39,114.49,844086
2023-03-28,116.21,120.51,114.07,118.9,737144
2023-03-29,117.85,119.74,115.18,117.45,219180
2023-03-30,119.03,120.98,118.98,120.79,825256
2023-03-31,120.06,124.81,115.31,120.76,105486
2023-04-01,119.09,119.55,116.08,118.0,449652
2023-04-02,119.01,122.97,115.06,115.79,252617
2023-04-03,117.68,122.66,117.4,121.28,174460
2023-04-04,120.68,121.27,119.97,120.96,331915
2023-04-05,122.43,126.62,120.29,121.7,818216
2023-04-06,122.99,126.52,122.58,122.92,389106
2023-04-07,123.24,127.56,118.84,120.9,792440
2023-04-08,121.27,123.02,117.73,120.28,348683
2023-04-09,120.51,122.63,115.98,116.72,930914
2023-04-10,115.74,117.76,112.88,116.5,551015
2023-04-11,114.97,118.21,111.24,115.31,161629
2023-04-12,114.91,117.3,114.49,115.97,342804
2023-04-13,117.83,117.89,112.98,113.19,228148
2023-04-14,111.36,115.99,106.77,109.1,523570
2023-04-15,110.98,113.59,107.83,111.84,939070
2023-04-16,113.82,117.31,111.9,115.89,965291
2023-04-17,117.72,118.01,115.75,115.99,260775
2023-04-18,114.67,117.9,112.73,113.91,395451
2023-04-19,112.23,117.1,107.29,114.14,992048
2023-04-20,113.26,115.31,110.24,111.62,651820
2023-04-21,113.26,117.37,108.51,114.94,675278
2023-04-22,116.62,117.03,112.24,114.88,268964
2023-04-23,112.99,114.87,108.93,114.79,212816
2023-04-24,114.3,118.05,112.34,117.07,932972
2023-04-25,115.33,115.51,114.66,114.67,803286
2023-04-26,116.13,120.19,111.13,120.16,150612
2023-04-27,120.5,124.13,116.72,119.52,606964
2023-04-28,119.32,119.97,114.55,117.84,646237
2023-04-29,119.35,123.13,119.11,120.19,900921
2023-04-30,120.19,122.57,116.03,118.04,740053
2023-05-01,119.91,120.36,115.95,118.55,381342
2023-05-02,116.67,120.44,113.56,118.41,415826
2023-05-03,120.02,123.11,115.12,119.97,828913
2023-05-04,119.54,121.73,115.02,117.36,415557
2023-05-05,117.16,121.71,115.67,118.84,667376
2023-05-06,120.63,121.37,116.0,118.64,906395
2023-05-07,116.91,117.14,113.8,114.96,728861
2023-05-08,115.5,116.7,115.12,115.32,598870
2023-05-09,115.66,117.66,112.17,113.16,994647
2023-05-10,112.81,117.18,110.23,116.99,653020
2023-05-11,115.76,115.96,114.92,115.21,136668
2023-05-12,113.33,116.08,110.66,112.59,848589
2023-05-13,112.05,114.56,108.6,108.83,503704
2023-05-14,108.76,112.19,106.2,107.14,480975
2023-05-15,105.38,106.77,101.35,105.4,936860
2023-05-16,107.35,110.03,102.73,104.45,915131
2023-05-17,103.93,106.24,100.19,100.41,358930
2023-05-18,101.27,105.74,98.71,102.45,218033
2023-05-19,102.24,104.9,101.03,102.07,473220
2023-05-20,100.8,103.62,96.6,97.22,870173
2023-05-21,95.7,100.16,92.74,97.77,567010
2023-05-22,98.37,100.77,95.45,99.37,637198
2023-05-23,100.35,102.51,99.71,100.51,294053
2023-05-24,102.1,105.14,100.88,103.0,212581
2023-05-25,103.43,104.61,102.92,103.18,564374
2023-05-26,103.13,107.38,102.69,106.47,258518
2023-05-27,107.84,108.1,107.75,107.99,895543
2023-05-28,106.44,108.43,101.59,107.51,862501
2023-05-29,109.41,111.87,105.8,110.78,939873
2023-05-30,111.01,113.86,109.61,112.88,237541
2023-05-31,114.75,118.31,113.76,117.11,335659
2023-06-01,115.57,118.62,114.12,116.74,382762
2023-06-02,118.47,120.07,115.5,117.18,814743
2023-06-03,115.72,116.04,110.77,112.47,357665
2023-06-04,110.82,111.52,110.81,110.89,193070
2023-06-05,110.78,112.84,109.03,112.57,327645
2023-06-06,113.55,115.59,108.89,115.53,820801
2023-06-07,114.26,114.59,110.55,112.87,237023
2023-06-08,114.0,118.14,110.25,116.56,879554
2023-06-09,115.21,119.29,111.89,115.76,907043
2023-06-10,115.02,117.96,111.61,114.48,784647
2023-06-11,113.99,116.3,112.48,115.34,249646
2023-06-12,115.65,117.42,113.69,115.68,192263
2023-06-13,116.17,116.76,111.47,114.79,910951
2023-06-14,115.57,116.4,111.17,113.76,125053
2023-06-15,115.34,119.28,114.58,116.04,950916
2023-06-16,117.16,117.87,116.14,117.38,465060
2023-06-17,118.88,120.59,114.78,115.42,171907
2023-06-18,115.25,118.27,112.74,115.72,226108
2023-06-19,114.64,118.25,111.04,115.66,532882
2023-06-20,115.93,119.51,112.93,118.37,488349
2023-06-21,120.0,122.92,118.0,120.27,176077
2023-06-22,120.73,125.29,120.04,120.57,770688
2023-06-23,118.64,123.0,113.98,119.08,605155
2023-06-24,120.24,120.35,116.98,119.58,820670
2023-06-25,120.01,122.13,116.32,121.75,234869
2023-06-26,123.39,124.0,122.21,122.51,278595
2023-06-27,121.0,125.61,116.66,121.3,430388
2023-06-28,120.82,124.54,119.79,123.53,984377
2023-06-29,122.87,124.86,120.18,124.48,763937
2023-06-30,124.34,126.75,119.75,123.86,666202
2023-07-01,123.67,124.37,122.79,123.58,906388
2023-07-02,125.24,127.05,122.33,125.32,765755
2023-07-03,124.17,126.74,119.29,122.71,857907
2023-07-04,122.37,122.79,117.38,120.1,830880
2023-07-05,119.34,121.33,117.21,120.5,193501
2023-07-06,119.32,120.28,119.14,119.68,717895
2023-07-07,120.03,121.5,116.46,119.12,237717
2023-07-08,118.88,120.88,116.08,116.83,286240
2023-07-09,116.16,116.54,112.4,113.53,962061
2023-07-10,113.63,117.64,108.74,116.21,316454
2023-07-11,116.85,116.98,115.74,116.02,176218
2023-07-12,116.05,119.02,114.35,117.01,139986
2023-07-13,117.62,118.81,117.12,117.53,525037
2023-07-14,117.95,121.98,113.13,121.49,745588
2023-07-15,121.11,122.73,120.68,121.98,378176
2023-07-16,120.81,120.95,119.91,120.51,262491
2023-07-17,121.33,125.88,118.2,120.78,770718
2023-07-18,120.3,123.25,118.96,121.64,756639
2023-07-19,121.85,124.03,120.38,123.84,864757
2023-07-20,124.96,125.53,122.13,125.48,607606
2023-07-21,126.68,128.81,126.57,127.17,659655
2023-07-22,127.96,129.98,126.87,128.88,413837
2023-07-23,130.81,133.44,129.95,130.9,444138
2023-07-24,132.19,134.84,128.12,131.47,257729
2023-07-25,131.68,134.94,127.54,129.06,140809
2023-07-26,127.62,128.94,126.29,128.23,851883
2023-07-27,128.77,131.24,125.9,130.37,463476
2023-07-28,129.91,132.5,129.67,130.14,292192
2023-07-29,128.47,131.49,127.25,128.9,613319
2023-07-30,128.65,133.22,125.04,130.03,478165
2023-07-31,129.94,133.26,125.25,131.12,515008
2023-08-01,130.2,132.9,129.39,132.34,221789
2023-08-02,134.16,134.93,131.04,132.89,724712
2023-08-03,131.19,134.83,128.71,132.92,155337
2023-08-04,132.76,133.14,132.37,132.38,830546
2023-08-05,131.46,134.42,129.66,130.09,431770
2023-08-06,131.94,135.89,128.49,132.35,251563
2023-08-07,132.52,136.88,128.86,135.33,494966
2023-08-08,136.23,139.41,131.32,138.63,875435
2023-08-09,137.52,142.45,132.79,133.18,137641
2023-08-10,133.53,138.53,130.75,134.43,575526
2023-08-11,132.57,136.05,131.08,135.68,576657
2023-08-12,135.36,139.34,131.64,132.06,381570
2023-08-13,131.34,135.48,131.15,133.73,221826
2023-08-14,133.98,136.38,129.55,133.17,590457
2023-08-15,134.07,134.4,132.5,133.52,941052
2023-08-16,134.17,137.86,131.57,134.25,961291
2023-08-17,133.18,133.31,128.83,128.93,915862
2023-08-18,127.67,129.59,123.01,123.47,993741
2023-08-19,122.87,126.71,120.86,123.67,375128
2023-08-20,123.99,125.35,122.0,122.31,911006
2023-08-21,121.99,125.68,120.8,121.34,658221
2023-08-22,120.53,124.79,116.95,121.57,813135
2023-08-23,119.64,124.58,117.5,120.22,975863
2023-08-24,118.72,123.5,114.73,117.0,853019
2023-08-25,116.67,121.07,111.95,116.21,658924
2023-08-26,118.17,121.88,117.84,119.46,869884
2023-08-27,120.06,123.1,117.5,118.79,161665
2023-08-28,118.33,118.51,113.54,117.65,698069
2023-08-29,119.52,123.94,114.88,123.9,388316
2023-08-30,122.94,125.51,120.48,125.5,784191
2023-08-31,125.35,128.46,121.61,121.85,727267
2023-09-01,122.17,122.63,117.78,119.07,617083
2023-09-02,118.97,119.2,114.71,114.87,932974
2023-09-03,115.49,118.25,115.06,116.36,658030
2023-09-04,114.38,117.86,114.14,116.12,992964
2023-09-05,115.0,118.42,114.62,117.85,225991
2023-09-06,119.38,121.96,114.85,118.92,111303
2023-09-07,119.63,122.46,118.29,121.95,369458
2023-09-08,123.42,124.65,122.64,122.96,205228
2023-09-09,124.31,127.79,120.91,125.17,233541
2023-09-10,123.92,128.33,119.12,123.41,809662
2023-09-11,124.71,125.35,123.04,124.76,595518
2023-09-12,122.76,125.55,118.98,120.68,175713
2023-09-13,119.83,122.91,114.92,119.97,263038
2023-09-14,119.48,119.52,115.38,115.92,700530
2023-09-15,116.96,119.67,112.14,114.72,329947
2023-09-16,113.43,117.2,109.49,110.83,538755
2023-09-17,109.1,110.61,105.56,105.9,697897
2023-09-18,105.79,106.08,105.42,105.99,779181
2023-09-19,107.88,112.72,104.13,105.25,987164
2023-09-20,104.78,105.11,100.68,102.33,882239
2023-09-21,103.41,106.82,101.18,102.72,332732
2023-09-22,104.5,105.01,100.23,102.75,438076
2023-09-23,101.94,106.14,98.08,99.93,384186
2023-09-24,101.41,106.22,101.25,104.89,532430
2023-09-25,104.56,107.76,102.58,104.0,490530
2023-09-26,103.24,104.85,99.62,103.52,803650
2023-09-27,101.65,104.9,99.8,104.21,380783
2023-09-28,104.38,105.18,103.37,103.53,501927
2023-09-29,104.61,108.84,100.81,105.84,707167
2023-09-30,105.01,109.57,100.18,101.92,886958
2023-10-01,101.85,102.43,101.22,102.05,658819
2023-10-02,102.28,103.41,101.48,102.74,935700
2023-10-03,103.1,105.27,98.18,99.24,878513
2023-10-04,99.96,101.94,95.09,100.03,106154
2023-10-05,100.81,105.11,96.91,97.24,264053
2023-10-06,98.24,98.96,97.72,98.43,345198
2023-10-07,98.43,101.52,94.91,98.61,122431
2023-10-08,100.37,100.74,97.7,100.38,319724
2023-10-09,98.69,100.68,98.03,99.53,150861
2023-10-10,100.31,104.41,100.1,102.99,675335
2023-10-11,103.54,107.07,103.38,106.84,749438
2023-10-12,107.0,110.55,102.65,108.29,506845
2023-10-13,108.74,111.16,105.43,108.6,373797
2023-10-14,109.87,112.13,106.65,109.53,719369
2023-10-15,109.29,112.91,106.32,110.61,232632
2023-10-16,112.09,113.19,107.22,109.23,128380
2023-10-17,110.39,113.68,107.9,111.11,991793
2023-10-18,111.72,113.38,109.01,111.17,441705
2023-10-19,110.78,111.88,108.69,109.34,616998
2023-10-20,109.19,113.53,105.55,111.48,960563
2023-10-21,111.99,115.67,108.15,111.95,476369
2023-10-22,113.42,116.31,111.22,114.91,515231
2023-10-23,115.34,118.33,111.37,115.93,915858
2023-10-24,116.3,120.86,115.24,118.74,360116
2023-10-25,119.67,120.33,116.09,119.95,297133
2023-10-26,121.83,122.74,117.56,120.11,790493
2023-10-27,118.5,120.52,115.53,118.42,201459
2023-10-28,118.8,119.61,116.84,119.53,429793
2023-10-29,120.96,121.01,118.02,119.81,853315
2023-10-30,121.69,123.96,120.51,120.76,444333
2023-10-31,120.08,122.33,116.74,117.55,869299
2023-11-01,117.9,122.65,116.64,118.8,994235
2023-11-02,116.94,120.63,113.63,116.95,857232
2023-11-03,117.77,120.0,113.45,117.11,576410
2023-11-04,115.55,116.9,115.27,116.14,453299
2023-11-05,114.34,117.54,113.22,114.0,858842
2023-11-06,113.26,115.8,113.05,113.46,348500
2023-11-07,113.38,116.81,113.29,114.43,947644
2023-11-08,115.9,118.18,113.32,115.7,599115
2023-11-09,115.83,116.45,115.16,115.35,626257
2023-11-10,114.15,117.52,109.31,110.08,778556
2023-11-11,109.85,114.19,108.97,112.59,596758
2023-11-12,114.36,117.78,111.88,115.53,136487
2023-11-13,116.98,120.83,116.42,119.92,201376
2023-11-14,118.79,122.08,116.82,120.25,734457
2023-11-15,119.64,120.44,116.62,117.83,828744
2023-11-16,119.8,123.57,119.35,120.57,519139
2023-11-17,121.17,125.0,116.54,120.25,136321
2023-11-18,121.3,125.29,119.12,124.16,494583
2023-11-19,123.35,126.59,121.71,124.79,858470
2023-11-20,125.04,126.94,122.3,125.07,239999
2023-11-21,124.56,125.7,124.2,125.1,553449
2023-11-22,126.14,128.64,123.43,128.39,864357
2023-11-23,130.05,134.11,129.5,130.19,153551
2023-11-24,130.51,133.18,127.47,131.84,312781
2023-11-25,132.71,137.49,132.62,133.57,159182
2023-11-26,131.86,136.63,128.58,131.64,669667
2023-11-27,133.38,135.14,132.87,133.97,893583
2023-11-28,134.06,137.41,129.42,133.67,621863
2023-11-29,132.92,135.97,129.34,131.15,855801
2023-11-30,129.63,130.54,126.23,127.01,172588
2023-12-01,125.75,127.22,121.78,122.79,219735
2023-12-02,124.64,127.06,120.61,124.16,957463
2023-12-03,124.26,124.83,124.25,124.62,265140
2023-12-04,126.16,127.3,125.1,126.44,700441
2023-12-05,125.88,130.41,122.03,126.7,227834
2023-12-06,127.82,129.19,123.71,126.03,398185
2023-12-07,127.27,131.1,126.52,128.46,751844
2023-12-08,127.14,130.82,122.82,124.55,149104
2023-12-09,123.27,124.83,122.12,122.68,191658
2023-12-10,121.6,123.56,118.63,121.08,642015
2023-12-11,119.63,123.1,117.6,119.96,394054
2023-12-12,120.86,120.93,119.15,120.61,924899
2023-12-13,121.51,124.4,120.14,120.48,997767
2023-12-14,121.06,124.04,119.05,120.88,334565
2023-12-15,120.3,120.65,117.71,117.9,372900
2023-12-16,116.18,119.39,114.83,117.53,960226
2023-12-17,117.66,119.28,116.0,118.2,351051
2023-12-18,118.84,121.63,115.19,118.19,459687
2023-12-19,118.51,118.95,113.7,117.04,955342
2023-12-20,115.84,118.52,115.36,116.78,356911
2023-12-21,114.79,116.29,109.88,112.92,967869
2023-12-22,111.86,113.86,111.1,113.84,293783
2023-12-23,114.0,118.21,111.39,115.64,156273
2023-12-24,116.79,121.12,113.75,117.49,634003
2023-12-25,118.32,118.5,116.81,117.25,224481
2023-12-26,116.78,118.51,115.58,117.07,489954
2023-12-27,116.66,118.9,113.66,116.36,969794
2023-12-28,117.5,120.38,114.67,116.9,857771
2023-12-29,118.62,119.21,114.54,116.31,291703
2023-12-30,116.44,120.05,115.74,116.65,664749
2023-12-31,114.98,116.99,114.11,116.11,754801
2024-01-01,117.94,120.81,113.28,117.61,556956
2024-01-02,119.06,123.67,116.62,120.89,793045
2024-01-03,122.21,123.8,117.45,122.69,302380
2024-01-04,122.16,122.5,122.03,122.09,664396
2024-01-05,122.29,127.12,120.13,122.31,264685
2024-01-06,123.81,125.2,119.56,119.56,571082
2024-01-07,120.04,123.29,119.28,119.52,667201
2024-01-08,119.36,119.65,114.39,114.69,256104
2024-01-09,114.41,115.27,114.04,115.0,128141
2024-01-10,113.4,116.86,113.09,115.01,593158
2024-01-11,113.93,115.09,112.83,113.22,985155
2024-01-12,113.33,115.46,112.67,115.14,433373
2024-01-13,115.76,117.53,113.13,115.25,655462
2024-01-14,116.18,120.03,116.13,117.75,714106
2024-01-15,117.43,121.38,114.52,119.19,760902
2024-01-16,119.66,121.28,115.49,119.14,640340
2024-01-17,120.34,125.14,117.9,118.7,563547
2024-01-18,119.28,121.78,117.95,118.52,110749
2024-01-19,117.12,118.75,113.44,115.96,769416
2024-01-20,116.42,120.72,114.46,120.44,479504
2024-01-21,122.27,126.2,120.69,124.48,542939
2024-01-22,122.79,124.18,118.14,119.67,806791
2024-01-23,119.51,122.7,116.21,122.02,937831
2024-01-24,120.93,125.37,118.67,124.58,654399
2024-01-25,126.54,128.75,126.3,126.39,587510
2024-01-26,127.26,127.62,126.9,126.91,970020
2024-01-27,126.94,128.88,124.63,128.85,301139
2024-01-28,129.95,133.25,129.02,129.76,129956
2024-01-29,129.95,134.11,129.61,131.52,521486
2024-01-30,129.85,134.69,128.37,133.23,752184
2024-01-31,135.13,138.47,135.08,135.95,797960
2024-02-01,136.52,139.17,136.31,139.08,659252
2024-02-02,137.58,139.96,137.01,138.44,663359
2024-02-03,139.44,143.5,136.15,137.09,670126
2024-02-04,135.54,138.53,135.06,136.37,285165
2024-02-05,136.12,139.19,131.41,133.28,802164
2024-02-06,133.99,136.47,133.92,136.45,392985
2024-02-07,137.71,142.02,133.48,141.32,287921
2024-02-08,141.87,142.97,136.98,141.46,941965
2024-02-09,142.57,145.85,141.68,143.95,317322
2024-02-10,143.03,145.73,139.39,140.08,743534
2024-02-11,138.44,143.27,136.0,137.1,522955
2024-02-12,138.03,140.74,135.08,137.95,895326
2024-02-13,136.38,137.14,135.91,136.62,895928
2024-02-14,137.66,138.46,135.35,135.38,515872
2024-02-15,136.35,140.76,134.96,136.08,863711
2024-02-16,137.29,138.31,134.51,137.29,180102
2024-02-17,137.75,141.19,135.88,138.74,540917
2024-02-18,140.13,144.33,135.97,136.06,245016
2024-02-19,137.89,139.73,136.26,136.78,891542
2024-02-20,136.66,139.17,136.03,137.24,334627
2024-02-21,138.13,142.56,135.16,138.06,203892
2024-02-22,136.07,136.96,135.92,136.09,816987
2024-02-23,137.27,137.74,134.33,135.97,169122
2024-02-24,134.23,137.13,131.42,134.62,209079
2024-02-25,135.33,139.35,133.98,138.41,996816
2024-02-26,138.96,139.7,135.48,138.63,252889
2024-02-27,139.46,143.4,136.87,139.75,367613
2024-02-28,139.06,141.23,138.62,139.19,446874
2024-02-29,140.4,144.23,136.73,138.98,702272
2024-03-01,138.66,141.84,134.73,135.58,785614
2024-03-02,136.94,138.85,134.08,136.88,744600
2024-03-03,137.15,142.05,136.32,140.33,601597
2024-03-04,141.66,143.02,139.07,140.25,123284
2024-03-05,138.47,142.74,137.34,139.38,370143
2024-03-06,138.12,142.13,135.83,138.87,869605
2024-03-07,139.4,139.65,134.88,139.22,889271
2024-03-08,140.13,143.96,139.34,142.16,530267
2024-03-09,141.76,146.37,139.4,139.49,232503
2024-03-10,137.72,139.13,136.41,137.08,119675
2024-03-11,138.23,143.1,136.37,139.26,370040
2024-03-12,140.37,140.69,137.93,138.02,758003
2024-03-13,138.5,141.31,136.77,138.2,654970
2024-03-14,137.59,142.09,137.48,140.54,166707
2024-03-15,139.05,143.46,137.08,142.36,595479
2024-03-16,141.41,145.06,136.5,138.69,623394
2024-03-17,139.6,140.55,137.9,138.72,162292
2024-03-18,139.16,140.9,138.59,138.94,191006
2024-03-19,137.94,142.19,135.13,138.83,197852
2024-03-20,137.74,139.76,135.03,138.77,145232
2024-03-21,138.95,139.35,136.65,137.96,113140
2024-03-22,136.53,139.85,135.45,135.88,832303
2024-03-23,135.52,138.78,132.8,133.17,321095
2024-03-24,131.62,133.4,126.73,132.02,897232
2024-03-25,130.83,132.12,130.0,130.7,785933
2024-03-26,131.72,131.81,131.09,131.56,625069
2024-03-27,130.52,132.77,125.59,131.14,391262
2024-03-28,131.35,131.82,129.63,130.25,543945
2024-03-29,130.24,130.77,126.96,130.09,310097
2024-03-30,128.46,130.67,127.48,128.08,280231
2024-03-31,127.23,131.19,124.34,128.69,368854
2024-04-01,129.26,130.24,124.77,127.62,500187
2024-04-02,128.4,132.37,126.82,131.57,690082
2024-04-03,133.16,134.01,130.63,132.65,875158
2024-04-04,131.38,135.85,128.11,129.29,692131
2024-04-05,130.48,135.32,126.2,127.27,442829
2024-04-06,126.55,131.49,124.13,125.03,477501
2024-04-07,125.57,126.4,121.16,123.4,632726
2024-04-08,121.92,125.35,121.45,121.57,978483
2024-04-09,123.13,123.52,119.47,120.23,197756
2024-04-10,119.41,124.01,118.86,122.77,222232
2024-04-11,122.65,126.76,120.36,122.65,408449
2024-04-12,123.93,128.32,121.3,123.02,745275
2024-04-13,124.32,124.82,123.12,123.36,276168
2024-04-14,124.32,125.28,121.25,123.0,535071
2024-04-15,122.41,126.62,120.06,126.48,567874
2024-04-16,124.61,128.3,124.08,125.41,765847
2024-04-17,123.69,124.56,119.41,120.58,645735
2024-04-18,118.87,119.25,117.17,118.98,949710
2024-04-19,118.2,119.26,118.03,118.4,472013
2024-04-20,119.44,123.96,118.28,122.87,150939
2024-04-21,123.53,124.83,118.99,122.9,692278
2024-04-22,121.58,123.53,119.68,120.56,186516
2024-04-23,120.74,122.64,115.86,116.61,895219
2024-04-24,114.68,116.79,114.55,116.71,153909
2024-04-25,118.15,119.61,113.59,118.13,552891
2024-04-26,116.2,121.01,112.57,115.14,310294
2024-04-27,115.27,118.45,113.02,114.21,658516
2024-04-28,114.37,114.85,113.16,113.18,177175
2024-04-29,112.32,116.44,111.95,112.96,192493
2024-04-30,113.94,114.18,109.42,113.47,443912
2024-05-01,112.8,114.5,107.85,112.01,385711
2024-05-02,110.97,114.94,110.8,113.21,427231
2024-05-03,114.37,117.24,111.08,112.63,144900
2024-05-04,113.03,113.6,112.56,113.51,146403
2024-05-05,114.98,115.3,110.2,110.33,591862
2024-05-06,110.05,111.64,107.88,110.79,601608
2024-05-07,110.15,110.97,109.3,110.89,863429
2024-05-08,111.25,114.77,110.07,112.48,330147
2024-05-09,112.01,114.45,108.75,114.17,379713
2024-05-10,114.06,118.98,112.72,115.27,626549
2024-05-11,114.28,116.09,111.92,112.11,664871
2024-05-12,111.07,113.42,108.81,110.99,981506
2024-05-13,109.77,112.83,108.37,109.29,711004
2024-05-14,107.32,107.35,106.22,106.26,596507
